MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21120740,2050000.0,85718,-110.945806,32.353228,3.22,26856,2010,4,6,6226.0,5.0,4,199.0,0,1,0,1,329.264375200771,512500.0,1.5
21032556,2150000.0,85718,-110.915749,32.338765,1.91,20960,2000,4,6,6224.0,3.0,3,357.0,0,1,0,1,345.4370179948586,537500.0,1.5
21307177,2495000.0,85637,-110.740635,31.720431,131.0,1220,1999,13,15,13000.0,0.0,4,0.0,0,1,0,1,191.92307692307693,191923.07692307694,1.1538461538461537
21709268,2000000.0,85718,-110.937229,32.300525,3.72,16276,1935,7,6,7569.0,3.0,1,0.0,1,0,0,1,264.2356982428326,285714.28571428574,0.8571428571428571
21728051,2200000.0,85750,-110.843873,32.328339,2.2,20084,2002,4,4,5333.0,3.0,2,178.0,1,0,1,0,412.52578286142887,550000.0,1.0
21320351,2200000.0,85640,-111.043773,31.562102,147.18,3902,1935,5,5,4317.0,5.0,4,0.0,0,1,0,1,509.6131572851517,440000.0,1.0
4113243,2200000.0,85640,-111.04463,31.562185,147.18,3902,1935,5,4,4963.0,5.0,4,0.0,0,1,0,1,443.2802740278058,440000.0,0.8
21221120,2224506.0,85658,-111.096767,32.467444,0.77,1286,2012,3,4,4724.0,3.0,2,550.0,1,0,0,1,470.89458086367483,741502.0,1.3333333333333333
21801268,2152700.0,85718,-110.885186,32.327916,1.55,16052,2009,5,7,6755.0,3.0,4,258.0,1,0,1,0,318.68245743893414,430540.0,1.4
21300209,1900000.0,85718,-110.931119,32.290474,1.08,26642,2008,5,8,7831.0,4.0,0,0.0,1,0,0,1,242.6254629038437,380000.0,1.6
21911058,2110000.0,85718,-110.951287,32.347679,2.66,20530,2012,4,7,7150.0,4.0,4,188.0,1,0,1,0,295.1048951048951,527500.0,1.75
21824716,2331000.0,85718,-110.941781,32.35081,1.26,6656,2018,4,6,5550.0,4.0,1,169.0,0,1,0,1,420.0,582750.0,1.5
21512684,2200000.0,85755,-110.969086,32.462364,3.16,26641,2002,4,7,7280.0,3.0,5,124.0,1,0,0,1,302.1978021978022,550000.0,1.75
21707019,2296443.0,85658,-111.096171,32.467398,0.91,1896,2018,3,4,4850.0,3.0,2,550.0,1,0,0,1,473.49340206185565,765481.0,1.3333333333333333
21605559,2197500.0,85750,-110.860852,32.330665,1.14,7292,2016,6,6,6202.0,4.0,3,220.0,1,0,0,1,354.32118671396324,366250.0,1.0
21600003,1850000.0,85658,-111.03963,32.455202,8.41,22677,2008,4,8,7182.0,4.0,6,320.0,1,0,0,1,257.58841548315235,462500.0,2.0
21818418,1800000.0,86024,-111.228462,34.596971,59.3,4509,2003,2,3,1999.0,2.0,1,0.0,1,0,0,1,900.4502251125563,900000.0,1.5
21602043,1800000.0,85750,-110.84556,32.327714,1.32,20206,2002,4,7,6800.0,3.0,4,142.0,0,1,0,1,264.70588235294116,450000.0,1.75
21304804,1720000.0,85750,-110.842141,32.275319,19.0,14631,1954,3,5,5042.0,0.0,5,0.0,0,1,0,1,341.1344704482348,573333.3333333334,1.6666666666666667
21633384,1950000.0,85755,-110.992676,32.464204,1.18,21063,2002,4,6,6622.0,6.0,3,213.0,1,0,1,0,294.47296889157354,487500.0,1.5
21424173,2150000.0,85739,-110.88366,32.509721,0.0,8980,2008,2,3,2729.0,0.0,2,1717.0,1,0,0,1,787.8343715646757,1075000.0,1.5
21521984,2037500.0,85718,-110.91839,32.343176,3.26,32442,2003,3,5,9630.0,4.0,2,421.0,1,0,0,1,211.57840083073728,679166.6666666666,1.6666666666666667
21704772,1920000.0,85718,-110.910653,32.338271,1.27,24316,1997,5,6,7132.0,3.0,2,422.0,1,0,0,1,269.20919798093104,384000.0,1.2
21419075,1999500.0,85718,-110.942588,32.349069,1.09,15250,2002,4,5,5795.0,4.0,4,153.0,1,0,0,1,345.0388265746333,499875.0,1.25
21601233,1750000.0,85718,-110.877379,32.331167,1.31,10956,1994,4,6,4907.0,3.0,4,258.0,1,0,0,1,356.6333808844508,437500.0,1.5
21317132,2117552.0,85658,-111.092958,32.472956,0.63,1340,2014,3,4,3276.0,2.0,2,550.0,1,0,0,1,646.3833943833944,705850.6666666666,1.3333333333333333
21528215,2000000.0,85749,-110.767568,32.301553,3.72,17077,2004,5,5,8265.0,5.0,4,105.0,1,0,0,1,241.98427102238355,400000.0,1.0
21706549,1995000.0,85750,-110.860305,32.323825,1.15,3292,2017,6,6,6107.0,4.0,3,55.0,1,0,0,1,326.67430817095135,332500.0,1.0
21816349,2000000.0,85715,-110.862142,32.264695,103.0,7069,1967,3,5,3969.0,3.0,1,0.0,0,1,0,1,503.90526581002774,666666.6666666666,1.6666666666666667
21808178,1295000.0,85637,-110.683575,31.684722,273.03,8411,1995,3,4,2681.0,6.0,1,0.0,0,1,0,1,483.02872062663187,431666.6666666667,1.3333333333333333
21921151,1950000.0,85658,-111.063603,32.45318,3.57,14425,2013,2,3,3140.0,3.0,3,148.0,1,0,0,1,621.0191082802547,975000.0,1.5
21500672,1775000.0,85658,-111.095814,32.471097,0.46,14748,2008,5,6,5349.0,3.0,5,550.0,1,0,0,1,331.8377266778837,355000.0,1.2
