MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21524191,730000.0,85718,-110.888642,32.325904,1.13,5197,1968,5,4,3602.0,2.0,2,257.0,1,0,0,1,202.66518600777343,146000.0,0.8,0,32.325904-110.888642
21611950,890000.0,85755,-110.960853,32.469747,1.55,14681,2006,4,5,5303.0,4.0,5,200.0,1,0,0,1,167.82953045445973,222500.0,1.25,0,32.469747-110.960853
21633083,695000.0,85745,-111.108953,32.243477,6.31,5447,2010,5,4,4628.0,6.0,3,0.0,0,1,0,1,150.17286084701814,139000.0,0.8,0,32.243477-111.108953
21722438,945000.0,85705,-110.966564,32.232014,0.42,6303,1907,7,4,4268.0,4.0,2,0.0,0,1,0,1,221.4151827553889,135000.0,0.5714285714285714,1,32.232014-110.966564
21817011,563000.0,85745,-111.068684,32.256107,4.49,8492,1990,4,4,3992.0,3.0,1,0.0,0,1,0,1,141.0320641282565,140750.0,1.0,0,32.256107-111.068684
21407606,525000.0,85748,-110.746628,32.202759,3.3,5138,2006,4,3,2937.0,3.0,1,0.0,0,1,0,1,178.7538304392237,131250.0,0.75,0,32.202759-110.746628
21728412,1825000.0,85718,-110.919685,32.342472,1.02,18578,1995,5,7,7451.0,3.0,4,323.0,1,0,1,0,244.9335659643001,365000.0,1.4,1,32.342472-110.919685
21320012,550000.0,85704,-110.971921,32.333202,1.06,4957,2002,4,3,2826.0,2.0,1,0.0,1,0,0,1,194.621372965322,137500.0,0.75,0,32.333202-110.971921
21304839,675000.0,85749,-110.77335,32.283282,3.56,6564,1989,6,6,6524.0,4.0,4,0.0,0,1,0,1,103.46413243408952,112500.0,1.0,0,32.283282-110.77335
21625990,500000.0,85755,-111.005293,32.447557,9.76,8753,1977,3,6,3625.0,4.0,3,42.0,0,1,0,1,137.93103448275863,166666.66666666666,2.0,0,32.447557-111.005293
21607470,970000.0,85718,-110.91243,32.283361,1.25,12343,1999,5,5,4935.0,3.0,2,52.0,0,1,0,1,196.5552178318136,194000.0,1.0,0,32.283361-110.91243
21910423,525000.0,85743,-111.178077,32.334303,4.66,4464,2003,3,2,2966.0,2.0,1,0.0,0,1,0,1,177.00606877950102,175000.0,0.6666666666666666,0,32.334303-111.178077
21706906,687000.0,85715,-110.848268,32.258989,0.33,7227,1979,4,3,3631.0,2.0,2,48.0,0,1,0,1,189.20407601211787,171750.0,0.75,0,32.258989-110.848268
21900715,650000.0,85718,-110.888436,32.326338,1.14,5967,1966,4,4,3693.0,4.0,3,258.0,0,1,0,1,176.00866504197128,162500.0,1.0,0,32.326338-110.888436
21703603,1125478.0,85755,-110.973498,32.460529,1.71,3171,2017,3,4,3436.0,3.0,1,0.0,1,0,0,1,327.5547147846333,375159.3333333333,1.3333333333333333,1,32.460529-110.973498
21412553,475000.0,85743,-111.121834,32.33532,3.66,5345,2005,3,4,4973.0,3.0,2,0.0,0,1,0,1,95.5157852402976,158333.33333333334,1.3333333333333333,0,32.33532-111.121834
21908018,759900.0,85718,-110.928785,32.333043,1.61,7338,1995,4,4,3411.0,3.0,2,0.0,0,1,0,1,222.7792436235708,189975.0,1.0,1,32.333043-110.928785
21208992,590000.0,85718,-110.923314,32.293568,0.0,6589,2002,5,4,3229.0,3.0,2,134.0,0,1,0,1,182.71910808299785,118000.0,0.8,0,32.293568-110.923314
21304768,560000.0,85739,-110.861078,32.536008,0.2,3511,2004,3,3,2668.0,3.0,0,193.0,0,1,0,1,209.89505247376312,186666.66666666663,1.0,0,32.536008-110.861078
21602311,740000.0,85718,-110.936049,32.346882,0.83,7238,1981,4,3,3912.0,2.0,2,100.0,0,1,0,1,189.16155419222903,185000.0,0.75,0,32.346882-110.936049
21427916,788000.0,85718,-110.950833,32.308473,0.82,7618,2000,4,5,4354.0,3.0,3,5.0,0,1,0,1,180.98300413412957,197000.0,1.25,0,32.308473-110.950833
21812170,580000.0,85755,-111.024143,32.449748,5.85,5738,1997,4,3,3307.0,3.0,2,0.0,0,1,0,1,175.3855458119141,145000.0,0.75,0,32.449748-111.024143
21911925,583000.0,85742,-111.029092,32.370128,0.98,3512,1980,4,4,3028.0,6.0,1,0.0,0,1,0,1,192.5363276089828,145750.0,1.0,0,32.370128-111.029092
21700155,591000.0,85718,-110.951351,32.321087,0.79,6875,1995,4,3,3806.0,2.0,2,4.0,1,0,0,1,155.28113504992118,147750.0,0.75,0,32.321087-110.951351
21816955,940000.0,85718,-110.914768,32.294483,1.62,9580,1992,5,4,4736.0,3.0,3,0.0,0,1,0,1,198.4797297297297,188000.0,0.8,0,32.294483-110.914768
21417057,1100000.0,85718,-110.931907,32.34593,1.56,10627,2010,5,5,4852.0,3.0,3,84.0,1,0,0,1,226.7106347897774,220000.0,1.0,1,32.34593-110.931907
21505336,1050000.0,85755,-110.962054,32.465294,1.94,11899,1998,4,4,4172.0,3.0,4,299.0,0,1,0,1,251.6778523489933,262500.0,1.0,1,32.465294-110.962054
21423202,1400000.0,85718,-110.943676,32.34812,1.15,20300,2004,4,6,6962.0,4.0,4,162.0,1,0,0,1,201.0916403332376,350000.0,1.5,0,32.34812-110.943676
21422822,1225000.0,85750,-110.832363,32.281855,0.96,14936,2003,4,5,6569.0,3.0,2,110.0,1,0,0,1,186.4819607246156,306250.0,1.25,0,32.281855-110.832363
21206478,1135000.0,85718,-110.920365,32.342229,0.8,8080,1983,3,3,3854.0,3.0,2,242.0,1,0,0,1,294.49922158796056,378333.3333333333,1.0,1,32.342229-110.920365
21315393,965000.0,85755,-110.969797,32.459985,0.86,7822,2001,3,4,3937.0,3.0,5,83.0,1,0,0,1,245.11049022098044,321666.6666666667,1.3333333333333333,1,32.459985-110.969797
21611054,830000.0,85718,-110.88587,32.302642,1.56,6215,1998,3,3,3243.0,3.0,2,12.0,1,0,0,1,255.93586185630588,276666.6666666667,1.0,1,32.302642-110.88587
