sold_price,longitude,zipcode,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_standard,floor_covering_luxury,kitchen_features_standard,kitchen_features_luxury,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,NAME
2100000.0,-110.913573,85718,32.337226,1.01,5785,2019,4,5,5767.0,3.0,3,437.0,1,0,0,1,364.1408011097624,525000.0,1.25,Catalina Foothills
1900000.0,-110.84391,85750,32.32846,1.16,16714,2002,4,4,5333.0,3.0,2,112.0,0,1,1,0,356.27226701668855,475000.0,1.0,Catalina Foothills
2050000.0,-110.945806,85718,32.353228,3.22,26856,2010,4,6,6226.0,5.0,4,199.0,1,0,1,0,329.264375200771,512500.0,1.5,Catalina Foothills
2150000.0,-110.915749,85718,32.338765,1.91,20960,2000,4,6,6224.0,3.0,3,357.0,1,0,1,0,345.4370179948586,537500.0,1.5,Catalina Foothills
2495000.0,-110.64,85637,31.66,131.0,1220,1999,13,15,13000.0,0.0,4,0.0,1,0,1,0,191.92307692307693,191923.0769230769,1.1538461538461535,Sonoita
2000000.0,-110.937229,85718,32.300525,3.72,16276,1935,7,6,7569.0,3.0,1,0.0,0,1,1,0,264.2356982428326,285714.28571428574,0.8571428571428571,Catalina Foothills
2200000.0,-110.843873,85750,32.328339,2.2,20084,2002,4,4,5333.0,3.0,2,178.0,0,1,0,1,412.52578286142887,550000.0,1.0,Catalina Foothills
2200000.0,-111.05,85640,31.58,147.18,3902,1935,5,5,4317.0,5.0,4,0.0,1,0,1,0,509.6131572851517,440000.0,1.0,Tumacacori-Carmen
2200000.0,-111.05,85640,31.58,147.18,3902,1935,5,4,4963.0,5.0,4,0.0,1,0,1,0,443.2802740278058,440000.0,0.8,Tumacacori-Carmen
2224506.0,-111.096767,85658,32.467444,0.77,1286,2012,3,4,4724.0,3.0,2,550.0,0,1,1,0,470.8945808636748,741502.0,1.3333333333333333,Marana
2152700.0,-110.885186,85718,32.327916,1.55,16052,2009,5,7,6755.0,3.0,4,258.0,0,1,0,1,318.68245743893414,430540.0,1.4,Catalina Foothills
1900000.0,-110.931119,85718,32.290474,1.08,26642,2008,5,8,7831.0,4.0,0,0.0,0,1,1,0,242.6254629038437,380000.0,1.6,Catalina Foothills
2110000.0,-110.951287,85718,32.347679,2.66,20530,2012,4,7,7150.0,4.0,4,188.0,0,1,0,1,295.1048951048951,527500.0,1.75,Catalina Foothills
2331000.0,-110.941781,85718,32.35081,1.26,6656,2018,4,6,5550.0,4.0,1,169.0,1,0,1,0,420.0,582750.0,1.5,Catalina Foothills
2200000.0,-110.969086,85755,32.462364,3.16,26641,2002,4,7,7280.0,3.0,5,124.0,0,1,1,0,302.1978021978022,550000.0,1.75,Oro Valley
2296443.0,-111.096171,85658,32.467398,0.91,1896,2018,3,4,4850.0,3.0,2,550.0,0,1,1,0,473.4934020618557,765481.0,1.3333333333333333,Marana
2197500.0,-110.860852,85750,32.330665,1.14,7292,2016,6,6,6202.0,4.0,3,220.0,0,1,1,0,354.32118671396324,366250.0,1.0,Catalina Foothills
1850000.0,-111.03963,85658,32.455202,8.41,22677,2008,4,8,7182.0,4.0,6,320.0,0,1,1,0,257.58841548315235,462500.0,2.0,Marana
1800000.0,-110.78,86024,33.0,59.3,4509,2003,2,3,1999.0,2.0,1,0.0,0,1,1,0,900.4502251125563,900000.0,1.5,Hayden town
1800000.0,-110.84556,85750,32.327714,1.32,20206,2002,4,7,6800.0,3.0,4,142.0,1,0,1,0,264.7058823529412,450000.0,1.75,Catalina Foothills
1720000.0,-110.842141,85750,32.275319,19.0,14631,1954,3,5,5042.0,0.0,5,0.0,1,0,1,0,341.1344704482348,573333.3333333334,1.6666666666666667,Catalina Foothills
1950000.0,-110.992676,85755,32.464204,1.18,21063,2002,4,6,6622.0,6.0,3,213.0,0,1,0,1,294.47296889157354,487500.0,1.5,Oro Valley
2150000.0,-110.88366,85739,32.509721,0.0,8980,2008,2,3,2729.0,0.0,2,1717.0,0,1,1,0,787.8343715646757,1075000.0,1.5,Catalina
2037500.0,-110.91839,85718,32.343176,3.26,32442,2003,3,5,9630.0,4.0,2,421.0,0,1,1,0,211.57840083073728,679166.6666666666,1.6666666666666667,Catalina Foothills
1920000.0,-110.910653,85718,32.338271,1.27,24316,1997,5,6,7132.0,3.0,2,422.0,0,1,1,0,269.20919798093104,384000.0,1.2,Catalina Foothills
1999500.0,-110.942588,85718,32.349069,1.09,15250,2002,4,5,5795.0,4.0,4,153.0,0,1,1,0,345.0388265746333,499875.0,1.25,Catalina Foothills
1750000.0,-110.877379,85718,32.331167,1.31,10956,1994,4,6,4907.0,3.0,4,258.0,0,1,1,0,356.6333808844508,437500.0,1.5,Catalina Foothills
2117552.0,-111.092958,85658,32.472956,0.63,1340,2014,3,4,3276.0,2.0,2,550.0,0,1,1,0,646.3833943833944,705850.6666666666,1.3333333333333333,Marana
2000000.0,-110.767568,85749,32.301553,3.72,17077,2004,5,5,8265.0,5.0,4,105.0,0,1,1,0,241.98427102238355,400000.0,1.0,Tanque Verde
1995000.0,-110.860305,85750,32.323825,1.15,3292,2017,6,6,6107.0,4.0,3,55.0,0,1,1,0,326.6743081709513,332500.0,1.0,Catalina Foothills
2000000.0,-110.862142,85715,32.264695,103.0,7069,1967,3,5,3969.0,3.0,1,0.0,1,0,1,0,503.9052658100277,666666.6666666666,1.6666666666666667,Catalina Foothills
1295000.0,-110.64,85637,31.66,273.03,8411,1995,3,4,2681.0,6.0,1,0.0,1,0,1,0,483.0287206266319,431666.6666666667,1.3333333333333333,Sonoita
1950000.0,-111.063603,85658,32.45318,3.57,14425,2013,2,3,3140.0,3.0,3,148.0,0,1,1,0,621.0191082802547,975000.0,1.5,Marana
