MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21916502,801000.0,85750,-110.869827,32.322305,0.47,8385,2000,5,3,3892.0,3.0,4,41.0,0,1,1,0,205.80678314491263,160200.0,0.6,0,32.322305-110.869827
21421961,605000.0,85748,-110.748958,32.211252,3.6,5046,1998,3,4,2688.0,3.0,3,0.0,1,0,0,1,225.0744047619048,201666.66666666663,1.3333333333333333,1,32.211252-110.748958
21813547,595000.0,85718,-110.957159,32.321551,0.78,5203,1980,4,4,3122.0,2.0,2,5.0,0,1,1,0,190.5829596412556,148750.0,1.0,0,32.321551-110.957159
21701881,525833.0,85750,-110.821415,32.271219,0.89,6015,1992,3,3,3473.0,3.0,1,5.0,0,1,0,1,151.4059890584509,175277.66666666666,1.0,0,32.271219-110.821415
21213788,651000.0,85718,-110.897553,32.318449,0.0,5220,2002,4,3,3121.0,3.0,1,80.0,0,1,0,1,208.58699134892663,162750.0,0.75,0,32.318449-110.897553
21317279,741500.0,85750,-110.82855,32.319809,1.22,5820,1987,4,4,3431.0,4.0,3,80.0,0,1,0,1,216.11774992713492,185375.0,1.0,1,32.319809-110.82855
21024484,750000.0,85621,-110.90911,31.377973,8.0,4243,1990,4,4,5514.0,2.0,1,0.0,0,1,0,1,136.01741022850925,187500.0,1.0,0,31.377973-110.90911
21815429,650000.0,85716,-110.919774,32.219343,0.92,4403,1953,4,3,4018.0,0.0,2,0.0,0,1,1,0,161.77202588352415,162500.0,0.75,0,32.219343-110.919774
21325831,590000.0,85749,-110.75737,32.273668,3.3,5269,2000,4,5,4911.0,3.0,1,0.0,0,1,0,1,120.1384646711464,147500.0,1.25,0,32.273668-110.75737
21423796,619900.0,85749,-110.726747,32.259272,1.67,4534,2003,4,4,3627.0,3.0,1,0.0,0,1,0,1,170.91259994485802,154975.0,1.0,0,32.259272-110.726747
21832437,622950.0,85614,-110.979665,31.823689,3.1,6533,2008,4,4,3509.0,3.0,3,61.0,1,0,1,0,177.52921060131092,155737.5,1.0,0,31.823689-110.979665
21716550,575000.0,85718,-110.885736,32.305627,0.33,5563,1997,3,3,2891.0,2.0,1,99.0,1,0,0,1,198.89311656866136,191666.66666666663,1.0,0,32.305627-110.885736
