MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category
21519586,615000.0,85716,-110.921889,32.216848,0.6,3988,1967,4,4,2594.0,1.0,1,0.0,0,1,0,1,237.0855821125675,153750.0,1.0,1
21911863,725000.0,85716,-110.92189,32.216851,0.6,4807,1967,4,4,2594.0,1.0,1,0.0,0,1,0,1,279.491133384734,181250.0,1.0,1
21128857,683000.0,85739,-110.85832,32.541542,0.3,4159,2007,2,3,2599.0,3.0,1,140.0,0,1,0,1,262.7933820700269,341500.0,1.5,1
21730461,710000.0,85739,-110.858323,32.541537,0.3,5423,2007,2,3,2599.0,3.0,1,170.0,0,1,0,1,273.1819930742593,355000.0,1.5,1
21507627,565000.0,85750,-110.868461,32.322464,0.57,5038,1999,4,3,2607.0,3.0,1,45.0,0,1,0,1,216.7242040659762,141250.0,0.75,1
21719775,580000.0,85750,-110.868483,32.322485,0.57,6036,1999,4,3,2607.0,3.0,1,40.0,0,1,0,1,222.47794399693132,145000.0,0.75,1
21706979,670000.0,85718,-110.91102,32.314731,0.16,7376,2004,3,3,2628.0,3.0,1,157.0,0,1,0,1,254.94672754946728,223333.3333333333,1.0,1
21303266,630000.0,85718,-110.91102,32.314732,0.16,5397,2004,3,3,2628.0,3.0,1,150.0,0,1,0,1,239.72602739726028,210000.0,1.0,1
21803672,680000.0,85718,-110.917178,32.312064,1.0,5750,1994,4,3,2665.0,3.0,1,195.0,0,1,0,1,255.15947467166976,170000.0,0.75,1
21504022,640000.0,85718,-110.917178,32.312069,1.0,4301,1994,4,3,2665.0,3.0,1,175.0,0,1,0,1,240.1500938086304,160000.0,0.75,1
21814465,534000.0,85739,-110.859829,32.54657,0.29,4184,2006,2,3,2681.0,3.0,1,180.0,0,1,1,0,199.17941066766133,267000.0,1.5,0
21207750,680000.0,85739,-110.86056,32.551038,0.29,3558,2005,2,3,2681.0,3.0,1,129.0,0,1,0,1,253.6367027228646,340000.0,1.5,1
21615181,545000.0,85743,-111.081624,32.317832,3.3,5274,2002,4,3,2691.0,3.0,1,62.0,0,1,0,1,202.52694165737643,136250.0,0.75,0
21901810,580000.0,85743,-111.080411,32.318438,3.3,5688,2002,4,3,2691.0,3.0,1,134.5,0,1,1,0,215.53325901151987,145000.0,0.75,1
21421090,584911.0,85737,-110.964334,32.405701,0.42,2042,2014,4,3,2700.0,3.0,1,75.0,0,1,0,1,216.6337037037037,146227.75,0.75,1
21802829,640000.0,85737,-110.964714,32.405546,0.42,7150,2014,4,3,2700.0,3.0,1,75.0,0,1,0,1,237.03703703703704,160000.0,0.75,1
21324584,560000.0,85658,-111.085176,32.462983,0.22,5389,2005,3,4,2711.0,2.0,3,214.0,0,1,0,1,206.5658428624124,186666.66666666663,1.3333333333333333,0
21730320,625000.0,85658,-111.085176,32.46298,0.22,8231,2005,3,4,2711.0,2.0,3,213.0,0,1,0,1,230.54223533751383,208333.3333333333,1.3333333333333333,1
21802305,609000.0,85658,-111.086252,32.463554,0.23,6307,2003,3,4,2711.0,2.0,4,213.0,1,0,1,0,224.64035411287347,203000.0,1.3333333333333333,1
21900313,610000.0,85658,-111.086241,32.463557,0.23,6424,2003,3,4,2711.0,2.0,4,213.0,1,0,1,0,225.0092216894135,203333.3333333333,1.3333333333333333,1
21316182,575000.0,85718,-110.943617,32.317116,1.29,3788,1975,3,3,2766.0,2.0,2,16.0,1,0,0,1,207.881417208966,191666.66666666663,1.0,0
21529572,610000.0,85718,-110.943617,32.317113,1.29,3642,1975,3,3,2766.0,2.0,2,16.0,1,0,0,1,220.5350686912509,203333.3333333333,1.0,1
21803452,600000.0,85750,-110.851918,32.319831,0.13,5453,1998,3,3,2771.0,2.0,1,107.0,0,1,1,0,216.52832912306027,200000.0,1.0,1
21724258,680000.0,85750,-110.853166,32.32251,0.13,5844,2001,3,3,2771.0,2.0,1,107.0,0,1,0,1,245.39877300613497,226666.66666666663,1.0,1
21410715,700000.0,85645,-111.235496,31.660699,172.76,7501,2000,3,3,2781.0,2.0,3,0.0,0,1,0,1,251.70801869831,233333.3333333333,1.0,1
4114144,700000.0,85645,-111.239157,31.665591,172.76,7501,1978,3,3,2781.0,2.0,3,0.0,0,1,0,1,251.70801869831,233333.3333333333,1.0,1
21804507,615000.0,85739,-110.900235,32.520795,0.19,4352,2004,3,3,2803.0,3.0,1,170.0,0,1,1,0,219.4077773813771,205000.0,1.0,1
21401574,615000.0,85739,-110.896724,32.53208,0.19,4331,2005,3,3,2803.0,3.0,1,148.0,0,1,0,1,219.4077773813771,205000.0,1.0,1
21817482,679000.0,85750,-110.836534,32.322741,0.25,6589,1993,3,2,2811.0,2.0,3,142.0,0,1,0,1,241.5510494485948,226333.3333333333,0.6666666666666666,1
21602756,605000.0,85750,-110.836534,32.32274,0.25,6299,1993,3,2,2811.0,2.0,3,142.0,0,1,0,1,215.2258982568481,201666.66666666663,0.6666666666666666,1
21424787,622000.0,85737,-110.943509,32.402064,0.25,1680,2014,3,3,2823.0,3.0,1,368.0,0,1,0,1,220.332979100248,207333.3333333333,1.0,1
21504649,600000.0,85737,-110.94343,32.401632,0.25,1680,2015,3,3,2823.0,3.0,1,123.0,0,1,0,1,212.53985122210412,200000.0,1.0,1
21617368,642500.0,85719,-110.943157,32.232536,0.24,6833,1948,4,3,2835.0,0.0,1,0.0,0,1,0,1,226.63139329806,160625.0,0.75,1
21911798,742000.0,85719,-110.943156,32.232543,0.24,5509,1948,4,3,2835.0,0.0,1,0.0,0,1,0,1,261.7283950617284,185500.0,0.75,1
21500294,550000.0,85718,-110.904245,32.331511,0.89,4358,1967,3,3,2891.0,2.0,1,0.0,0,1,0,1,190.24558976132823,183333.3333333333,1.0,0
21722071,605000.0,85718,-110.904245,32.331515,0.89,4756,1967,3,3,2891.0,2.0,1,6.0,0,1,0,1,209.27014873746108,201666.66666666663,1.0,0
21730889,672000.0,85716,-110.932176,32.226885,0.23,3685,1931,4,3,2907.0,2.0,2,0.0,0,1,1,0,231.16615067079465,168000.0,0.75,1
21501616,525000.0,85716,-110.932176,32.226886,0.23,3362,1931,4,3,2907.0,2.0,2,0.0,0,1,0,1,180.5985552115583,131250.0,0.75,0
21533483,569000.0,85750,-110.832554,32.298972,0.17,4246,2000,4,3,2954.0,2.0,2,74.0,0,1,0,1,192.6201760324983,142250.0,0.75,0
21406999,557000.0,85750,-110.832565,32.298975,0.17,3915,2000,4,3,2954.0,2.0,2,70.0,0,1,0,1,188.55788761002032,139250.0,0.75,0
4118209,600000.0,85646,-111.027692,31.648332,10.0,2903,1987,4,3,2988.0,2.0,3,0.0,0,1,1,0,200.8032128514056,150000.0,0.75,0
21728491,600000.0,85646,-111.035225,31.649091,10.0,2903,1987,4,3,2988.0,2.0,3,0.0,0,1,0,1,200.8032128514056,150000.0,0.75,0
21412250,520000.0,85718,-110.957508,32.2941,0.2,4718,2004,5,3,2998.0,3.0,1,54.0,0,1,0,1,173.4489659773182,104000.0,0.6,0
21807100,599000.0,85718,-110.957508,32.294103,0.2,5373,2004,5,3,2998.0,3.0,1,57.0,0,1,1,0,199.7998665777185,119800.0,0.6,0
21730799,972877.0,85719,-110.939406,32.243494,0.21,0,2018,3,3,3002.0,2.0,1,125.0,0,1,1,0,324.07628247834776,324292.3333333333,1.0,1
21730830,985368.0,85719,-110.939446,32.243699,0.21,0,2018,3,3,3002.0,2.0,1,125.0,1,0,1,0,328.2371752165223,328456.0,1.0,1
21730798,1007583.0,85719,-110.938306,32.243724,0.21,0,2018,3,3,3002.0,2.0,1,125.0,1,0,1,0,335.6372418387742,335861.0,1.0,1
21624778,775000.0,85718,-110.920469,32.308269,1.01,5389,1998,4,3,3012.0,3.0,1,0.0,0,1,0,1,257.30411686586984,193750.0,0.75,1
21524741,665000.0,85718,-110.920469,32.308266,1.01,4879,1998,4,3,3012.0,3.0,1,0.0,0,1,0,1,220.7835325365206,166250.0,0.75,1
21526200,605000.0,85737,-110.980455,32.388238,0.81,5407,1963,3,3,3023.0,2.0,2,7.0,0,1,0,1,200.13231888852133,201666.66666666663,1.0,0
21806239,689000.0,85737,-110.980454,32.388238,0.81,6713,1968,3,3,3023.0,2.0,2,6.25,1,0,1,0,227.919285478002,229666.66666666663,1.0,1
21810091,640000.0,85718,-110.90985,32.312222,0.11,5765,2009,3,3,3024.0,2.0,0,155.0,0,1,1,0,211.64021164021165,213333.3333333333,1.0,0
21314196,670000.0,85718,-110.909862,32.312206,0.11,3967,2009,3,3,3024.0,2.0,0,155.0,0,1,0,1,221.56084656084656,223333.3333333333,1.0,1
21210469,609000.0,85737,-110.988013,32.39716,0.65,5920,1997,4,3,3043.0,2.0,2,51.0,0,1,0,1,200.1314492277358,152250.0,0.75,0
21315475,630000.0,85737,-110.988015,32.397157,0.65,5771,1997,4,3,3043.0,2.0,2,51.0,0,1,0,1,207.0325336838646,157500.0,0.75,0
21828776,640000.0,85718,-110.942298,32.319146,0.96,5006,1980,3,4,3049.0,2.0,1,15.45,0,1,1,0,209.90488684814693,213333.3333333333,1.3333333333333333,0
21808933,640000.0,85718,-110.942298,32.319138,0.96,5006,1980,3,4,3049.0,2.0,1,15.45,0,1,1,0,209.90488684814693,213333.3333333333,1.3333333333333333,0
21803184,720000.0,85718,-110.898034,32.32208,0.51,6716,2001,4,3,3052.0,3.0,1,80.0,1,0,1,0,235.91087811271296,180000.0,0.75,1
21906483,715000.0,85718,-110.900134,32.319152,0.46,6980,2002,3,3,3052.0,2.0,1,80.0,0,1,0,1,234.27260812581915,238333.3333333333,1.0,1
21306428,610174.0,85718,-110.898045,32.322094,0.51,5636,2001,4,3,3052.0,3.0,1,80.0,0,1,0,1,199.9259501965924,152543.5,0.75,0
21530488,679000.0,85718,-110.900124,32.319156,0.46,5335,2002,3,3,3052.0,2.0,1,80.0,0,1,0,1,222.47706422018348,226333.3333333333,1.0,1
