Location,Latitude,Longitude
Lake of the Woods,34.15,-109.99
Lazy Y U,35.14,-113.97
LeChee,36.87,-111.43
Leupp,35.3,-111.0
Linden,34.26,-110.14
Litchfield Park city,33.5,-112.36
Littlefield,36.87,-113.94
Littletown,32.13,-110.87
Low Mountain,35.95,-110.1
Lower Santan Village,33.14,-111.79
Lukachukai,36.41,-109.23
Lupton,35.35,-109.05
Maish Vaya,32.17,-112.13
Mammoth town,32.72,-110.64
Many Farms,36.35,-109.63
Marana town,32.44,-111.15
Maricopa city,33.04,-112.02
Maricopa Colony,33.36,-112.23
Martinez Lake,32.99,-114.47
Mayer,34.42,-112.24
McConnico,35.16,-114.09
McNary,34.09,-109.85
McNeal,31.61,-109.67
Mead Ranch,34.35,-111.14
Meadview,35.95,-114.08
Mesa city,33.4,-111.72
Mesa del Caballo,34.29,-111.3
Mescal,31.97,-110.44
Mesquite Creek,34.96,-114.57
Miami town,33.39,-110.87
Miracle Valley,31.38,-110.15
Moccasin,36.91,-112.75
Moenkopi,36.11,-111.22
Mohave Valley,34.9,-114.57
Mojave Ranch Estates,34.94,-114.59
Morenci,33.05,-109.33
Morristown,33.85,-112.61
Mountainaire,35.09,-111.65
Munds Park,34.94,-111.63
Naco,31.34,-109.93
Nazlini,35.92,-109.47
Nelson,32.43,-111.27
New Kingman-Butler,35.26,-114.01
New River,33.88,-112.09
Nogales city,31.36,-110.93
Nolic,32.03,-111.96
North Fork,34.0,-109.96
Nutrioso,33.95,-109.21
Oak Springs,35.48,-109.13
Oatman,35.03,-114.38
Oljato-Monument Valley,36.99,-110.19
Oracle,32.61,-110.78
Orange Grove Mobile Manor,32.6,-114.66
Oro Valley town,32.42,-110.98
Oxbow Estates,34.18,-111.34
Padre Ranchitos,32.65,-114.64
Page city,36.9,-111.46
Palominas,31.38,-110.12
Paradise Valley town,33.54,-111.96
Parker Strip,34.28,-114.13
Parker town,34.03,-114.22
Parks,35.29,-111.98
Patagonia town,31.54,-110.75
Paulden,34.89,-112.49
Payson town,34.24,-111.32
Peach Springs,35.53,-113.43
Peeples Valley,34.28,-112.77
Peoria city,33.78,-112.3
Peridot,33.3,-110.46
Phoenix city,33.57,-112.09
Picacho,32.71,-111.49
Picture Rocks,32.33,-111.26
Pima town,32.89,-109.84
Pimaco Two,31.97,-110.47
Pinal,33.38,-110.76
Pine,34.38,-111.46
Pine Lake,35.09,-113.87
Pinedale,34.32,-110.26
Pinetop Country Club,34.12,-109.89
Pinetop-Lakeside town,34.15,-109.97
Pinion Pines,35.15,-113.91
Pinon,36.1,-110.22
Pirtleville,31.36,-109.57
Pisinemo,32.03,-112.32
Poston,33.99,-114.4
Prescott city,34.58,-112.45
Prescott Valley town,34.6,-112.32
Quartzsite town,33.67,-114.22
Queen Creek town,33.24,-111.64
Queen Valley,33.28,-111.3
Rainbow City,33.87,-109.98
Rancho Mesa Verde,32.59,-114.66
Red Mesa,36.97,-109.38
Red Rock,32.56,-111.37
Red Rock,36.6,-109.06
Rillito,32.42,-111.15
Rincon Valley,32.11,-110.69
Rio Rico,31.5,-110.99
Rio Verde,33.73,-111.68
Rock House,33.63,-110.95
Rock Point,36.72,-109.63
Roosevelt,33.66,-111.13
Rough Rock,36.41,-109.87
Round Rock,36.5,-109.46
Round Valley,34.19,-111.3
Rye,34.1,-111.35
Sacate Village,33.14,-111.98
Sacaton,33.08,-111.77
Sacaton Flats Village,33.06,-111.66
Saddlebrooke,32.54,-110.86
Safford city,32.83,-109.7
Sahuarita town,31.93,-110.97
Salome,33.78,-113.61
San Carlos,33.35,-110.47
San Jose,32.82,-109.6
San Luis city,32.49,-114.71
San Manuel,32.61,-110.64
San Miguel,31.63,-111.78
San Simon,32.27,-109.23
San Tan Valley,33.19,-111.55
Sanders,35.21,-109.32
Santa Cruz,33.23,-112.16
Santa Rosa,32.33,-112.05
Sawmill,35.89,-109.15
Scenic,36.79,-114.02
Scottsdale city,33.69,-111.87
Seba Dalkai,35.48,-110.46
Second Mesa,35.82,-110.49
Sedona city,34.86,-111.79
Sehili,36.28,-109.18
Seligman,35.33,-112.86
Sells,31.92,-111.88
Seven Mile,33.79,-109.96
Shongopovi,35.82,-110.53
Shonto,36.59,-110.66
Show Low city,34.24,-110.03
Sierra Vista city,31.56,-110.32
Sierra Vista Southeast,31.45,-110.22
Six Shooter Canyon,33.36,-110.77
Snowflake town,34.52,-110.09
So-Hi,35.25,-114.14
Solomon,32.81,-109.63
Somerton city,32.6,-114.7
Sonoita,31.66,-110.64
South Komelik,31.71,-111.77
South Tucson city,32.2,-110.97
Spring Valley,34.35,-112.15
Springerville town,34.16,-109.3
St. David,31.9,-110.23
St. Johns,33.31,-112.19
St. Johns city,34.5,-109.38
St. Michaels,35.66,-109.1
Stanfield,32.88,-111.96
Star Valley town,34.26,-111.22
Steamboat,35.75,-109.85
Stotonic Village,33.15,-111.82
Strawberry,34.4,-111.5
Summerhaven,32.44,-110.78
Summit,32.07,-110.95
Sun City,33.62,-112.28
Sun City West,33.67,-112.36
Sun Lakes,33.22,-111.87
Sun Valley,34.98,-110.04
Sunizona,31.88,-109.63
Sunwest,33.65,-113.41
Supai,36.23,-112.69
Superior town,33.29,-111.11
Surprise city,33.68,-112.45
Sweet Water Village,33.13,-111.84
Swift Trail Junction,32.73,-109.71
Tacna,32.7,-113.96
Tanque Verde,32.27,-110.74
Tat Momoli,32.6,-111.89
Taylor town,34.44,-110.1
Teec Nos Pos,36.92,-109.08
Tees Toh,35.48,-110.4
Tempe city,33.39,-111.93
Thatcher town,32.83,-109.76
Theba,32.92,-112.89
Three Points,32.06,-111.29
Tolani Lake,35.43,-110.84
Tolleson city,33.45,-112.26
Tombstone city,31.72,-110.06
Tonalea,36.32,-110.97
Tonopah,33.49,-112.93
Tonto Basin,33.84,-111.3
Tonto Village,34.32,-111.14
Top-of-the-World,33.35,-111.0
Topawa,31.81,-111.83
Topock,34.72,-114.48
Toyei,35.7,-109.94
Truxton,35.49,-113.56
Tsaile,36.3,-109.22
Tuba City,36.13,-111.25
Tubac,31.61,-111.06
Tucson city,32.16,-110.88
Tucson Estates,32.18,-111.13
Tumacacori-Carmen,31.58,-111.05
Turkey Creek,33.8,-109.95
Tusayan,35.96,-112.14
Upper Santan Village,33.12,-111.74
Utting,33.85,-113.91
Vail,32.02,-110.69
Vaiva Vo,32.72,-111.93
Valencia West,32.13,-111.11
Valentine,35.39,-113.66
Valle,35.62,-112.14
Valle Vista,35.41,-113.86
Ventana,32.47,-112.24
Verde Village,34.71,-111.99
Vernon,34.25,-109.69
Vicksburg,33.73,-113.83
Village of Oak Creek (Big Park),34.78,-111.76
Wagon Wheel,34.2,-110.02
Wahak Hotrontk,32.17,-112.37
Wall Lane,32.66,-114.71
Walnut Creek,35.13,-114.13
Washington Park,34.4,-111.27
Wellton Hills,32.62,-114.15
Wellton town,32.64,-114.21
