ZIP Code,City,Latitude,Longitude
85261,Scottsdale city,33.69,-111.87
85262,Scottsdale city,33.69,-111.87
85266,Scottsdale city,33.69,-111.87
85267,Scottsdale city,33.69,-111.87
85271,Scottsdale city,33.69,-111.87
85253,Paradise Valley town,33.54,-111.96
85263,Nutrioso,33.95,-109.21
85648,Nutrioso,33.95,-109.21
85932,Nutrioso,33.95,-109.21
85264,Fort Apache,33.79,-109.99
85536,Fort Apache,33.79,-109.99
85613,Fort Apache,33.79,-109.99
85670,Fort Apache,33.79,-109.99
85926,Fort Apache,33.79,-109.99
86426,Fort Apache,33.79,-109.99
86427,Fort Apache,33.79,-109.99
86504,Fort Apache,33.79,-109.99
85268,Fountain Hills town,33.61,-111.74
85269,Fountain Hills town,33.61,-111.74
85280,Tempe city,33.39,-111.93
85281,Tempe city,33.39,-111.93
85282,Tempe city,33.39,-111.93
85283,Tempe city,33.39,-111.93
85284,Tempe city,33.39,-111.93
85285,Tempe city,33.39,-111.93
85287,Tempe city,33.39,-111.93
85288,Tempe city,33.39,-111.93
86443,Tempe city,33.39,-111.93
85301,Glendale city,33.58,-112.23
85302,Glendale city,33.58,-112.23
85303,Glendale city,33.58,-112.23
85304,Glendale city,33.58,-112.23
85305,Glendale city,33.58,-112.23
85306,Glendale city,33.58,-112.23
85307,Glendale city,33.58,-112.23
85308,Glendale city,33.58,-112.23
85310,Glendale city,33.58,-112.23
85311,Glendale city,33.58,-112.23
85312,Glendale city,33.58,-112.23
85318,Glendale city,33.58,-112.23
85309,Alamo Lake,34.26,-113.51
86342,Alamo Lake,34.26,-113.51
86403,Alamo Lake,34.26,-113.51
86404,Alamo Lake,34.26,-113.51
86405,Alamo Lake,34.26,-113.51
86406,Alamo Lake,34.26,-113.51
85320,Aguila,33.94,-113.17
85321,Ajo,32.39,-112.88
85322,Arlington,33.33,-112.77
85323,Avondale city,33.39,-112.32
85392,Avondale city,33.39,-112.32
85324,Black Canyon City,34.07,-112.12
86042,Black Canyon City,34.07,-112.12
85325,Bouse,33.9,-114.0
85326,Buckeye town,33.43,-112.65
85396,Buckeye town,33.43,-112.65
85327,Cave Creek town,33.85,-111.98
85331,Cave Creek town,33.85,-111.98
85328,Cibola,33.37,-114.68
85329,Moccasin,36.91,-112.75
85332,Congress,34.15,-112.86
85333,Dateland,32.82,-113.54
85334,Ehrenberg,33.62,-114.49
85335,Cornfields,35.65,-109.68
85337,Gila Bend town,32.98,-112.73
85338,Goodyear city,33.26,-112.36
85395,Goodyear city,33.26,-112.36
85339,Summerhaven,32.44,-110.78
85340,Litchfield Park city,33.5,-112.36
85342,Morristown,33.85,-112.61
85343,Palominas,31.38,-110.12
85344,Parker Strip,34.28,-114.13
85345,Peoria city,33.78,-112.3
85380,Peoria city,33.78,-112.3
85381,Peoria city,33.78,-112.3
85382,Peoria city,33.78,-112.3
85383,Peoria city,33.78,-112.3
85385,Peoria city,33.78,-112.3
85346,Quartzsite town,33.67,-114.22
85359,Quartzsite town,33.67,-114.22
85347,Rillito,32.42,-111.15
85654,Rillito,32.42,-111.15
85348,Salome,33.78,-113.61
85350,Somerton city,32.6,-114.7
85351,Sun City,33.62,-112.28
85372,Sun City,33.62,-112.28
85373,Sun City,33.62,-112.28
85375,Sun City,33.62,-112.28
85376,Sun City,33.62,-112.28
86029,Sun City,33.62,-112.28
85352,Tacna,32.7,-113.96
85353,Tolleson city,33.45,-112.26
85354,Tonopah,33.49,-112.93
85355,Gadsden,32.56,-114.78
85356,Wellton Hills,32.62,-114.15
85357,Wenden,33.83,-113.54
85535,Wenden,33.83,-113.54
85358,Wickenburg town,33.97,-112.76
85390,Wickenburg town,33.97,-112.76
85360,Wikieup,34.69,-113.6
85361,Wittmann,33.78,-112.53
85362,Yarnell,34.23,-112.76
85363,Young,34.12,-110.96
85554,Young,34.12,-110.96
85364,Yuma city,32.6,-114.55
85365,Yuma city,32.6,-114.55
85366,Yuma city,32.6,-114.55
85367,Yuma city,32.6,-114.55
85369,Yuma city,32.6,-114.55
85371,Poston,33.99,-114.4
85374,Surprise city,33.68,-112.45
85378,Surprise city,33.68,-112.45
85379,Surprise city,33.68,-112.45
85387,Surprise city,33.68,-112.45
85388,Surprise city,33.68,-112.45
85377,Carefree town,33.82,-111.92
85501,East Globe,33.35,-110.71
85502,East Globe,33.35,-110.71
85530,Bylas,33.13,-110.12
85531,Central,32.87,-109.79
85532,Claypool,33.41,-110.84
85533,Clifton town,33.02,-109.29
85534,Duncan town,32.73,-109.1
85539,Miami town,33.39,-110.87
85540,Morenci,33.05,-109.33
85541,Payson town,34.24,-111.32
85547,Payson town,34.24,-111.32
85542,Peridot,33.3,-110.46
86028,Peridot,33.3,-110.46
85543,Pima town,32.89,-109.84
85544,Pine,34.38,-111.46
85935,Pine,34.38,-111.46
85545,Roosevelt,33.66,-111.13
85546,Safford city,32.83,-109.7
85548,Safford city,32.83,-109.7
85551,Solomon,32.81,-109.63
85552,Thatcher town,32.83,-109.76
85553,Tonto Basin,33.84,-111.3
85601,Arivaca,31.57,-111.29
85602,Benson city,31.92,-110.33
85603,Bisbee city,31.41,-109.92
85605,Bowie,32.32,-109.48
85607,Douglas city,31.36,-109.54
85608,Douglas city,31.36,-109.54
85655,Douglas city,31.36,-109.54
85609,Dragoon,32.03,-110.04
85610,Elfrida,31.69,-109.69
85611,Elgin,31.67,-110.53
85614,Green Valley,31.84,-111.02
85622,Green Valley,31.84,-111.02
85615,Rye,34.1,-111.35
85616,Huachuca City town,31.63,-110.34
85617,McConnico,35.16,-114.09
85618,Mammoth town,32.72,-110.64
85619,Low Mountain,35.95,-110.1
85620,Naco,31.34,-109.93
85621,Nogales city,31.36,-110.93
85628,Nogales city,31.36,-110.93
85623,Oracle,32.61,-110.78
85624,Patagonia town,31.54,-110.75
85626,Pirtleville,31.36,-109.57
85627,Greer,34.01,-109.46
85927,Greer,34.01,-109.46
85629,Sahuarita town,31.93,-110.97
85633,Casas Adobes,32.34,-111.01
85634,Sells,31.92,-111.88
86338,Sells,31.92,-111.88
85635,Sierra Vista city,31.56,-110.32
85636,Sierra Vista city,31.56,-110.32
85650,Sierra Vista city,31.56,-110.32
85671,Sierra Vista city,31.56,-110.32
85637,Sonoita,31.66,-110.64
85638,Tombstone city,31.72,-110.06
85639,Topawa,31.81,-111.83
85640,Tumacacori-Carmen,31.58,-111.05
85641,Vail,32.02,-110.69
85643,Willcox city,32.25,-109.84
85644,Willcox city,32.25,-109.84
85645,Amado,31.7,-111.06
85646,Tubac,31.61,-111.06
85652,Charco,32.25,-112.6
85653,Marana town,32.44,-111.15
85658,Marana town,32.44,-111.15
85701,Corona de Tucson,31.95,-110.78
85702,Corona de Tucson,31.95,-110.78
85703,Corona de Tucson,31.95,-110.78
85704,Corona de Tucson,31.95,-110.78
85705,Corona de Tucson,31.95,-110.78
85706,Corona de Tucson,31.95,-110.78
85707,Corona de Tucson,31.95,-110.78
85708,Corona de Tucson,31.95,-110.78
85709,Corona de Tucson,31.95,-110.78
85710,Corona de Tucson,31.95,-110.78
85711,Corona de Tucson,31.95,-110.78
85712,Corona de Tucson,31.95,-110.78
85713,Corona de Tucson,31.95,-110.78
85714,Corona de Tucson,31.95,-110.78
85715,Corona de Tucson,31.95,-110.78
85716,Corona de Tucson,31.95,-110.78
85717,Corona de Tucson,31.95,-110.78
85718,Corona de Tucson,31.95,-110.78
85719,Corona de Tucson,31.95,-110.78
85720,Corona de Tucson,31.95,-110.78
85721,Corona de Tucson,31.95,-110.78
85722,Corona de Tucson,31.95,-110.78
85723,Corona de Tucson,31.95,-110.78
85724,Corona de Tucson,31.95,-110.78
85725,Corona de Tucson,31.95,-110.78
85726,Corona de Tucson,31.95,-110.78
85728,Corona de Tucson,31.95,-110.78
85730,Corona de Tucson,31.95,-110.78
85731,Corona de Tucson,31.95,-110.78
85732,Corona de Tucson,31.95,-110.78
85733,Corona de Tucson,31.95,-110.78
85734,Corona de Tucson,31.95,-110.78
85735,Corona de Tucson,31.95,-110.78
85736,Corona de Tucson,31.95,-110.78
85737,Corona de Tucson,31.95,-110.78
85739,Corona de Tucson,31.95,-110.78
85740,Corona de Tucson,31.95,-110.78
85741,Corona de Tucson,31.95,-110.78
85742,Corona de Tucson,31.95,-110.78
85743,Corona de Tucson,31.95,-110.78
85744,Corona de Tucson,31.95,-110.78
85745,Corona de Tucson,31.95,-110.78
85746,Corona de Tucson,31.95,-110.78
85747,Corona de Tucson,31.95,-110.78
85748,Corona de Tucson,31.95,-110.78
85749,Corona de Tucson,31.95,-110.78
85750,Corona de Tucson,31.95,-110.78
85751,Corona de Tucson,31.95,-110.78
85752,Corona de Tucson,31.95,-110.78
85754,Corona de Tucson,31.95,-110.78
85755,Corona de Tucson,31.95,-110.78
85756,Corona de Tucson,31.95,-110.78
85757,Corona de Tucson,31.95,-110.78
85775,Corona de Tucson,31.95,-110.78
86343,Corona de Tucson,31.95,-110.78
85738,Catalina,32.48,-110.9
85901,Show Low city,34.24,-110.03
85902,Show Low city,34.24,-110.03
85911,Cibecue,34.03,-110.49
85912,White Hills,35.72,-114.4
85920,Alpine,33.85,-109.14
85922,Bluewater,34.17,-114.27
