ZIP Code,City
85707,Corona de Tucson
85708,Corona de Tucson
85709,Corona de Tucson
85710,Corona de Tucson
85711,Corona de Tucson
85712,Corona de Tucson
85713,Corona de Tucson
85714,Corona de Tucson
85715,Corona de Tucson
85716,Corona de Tucson
85717,Corona de Tucson
85718,Corona de Tucson
85719,Corona de Tucson
85720,Corona de Tucson
85721,Corona de Tucson
85722,Corona de Tucson
85723,Corona de Tucson
85724,Corona de Tucson
85725,Corona de Tucson
85726,Corona de Tucson
85728,Corona de Tucson
85730,Corona de Tucson
85731,Corona de Tucson
85732,Corona de Tucson
85733,Corona de Tucson
85734,Corona de Tucson
85735,Corona de Tucson
85736,Corona de Tucson
85737,Corona de Tucson
85738,Catalina
85739,Corona de Tucson
85740,Corona de Tucson
85741,Corona de Tucson
85742,Corona de Tucson
85743,Corona de Tucson
85744,Corona de Tucson
85745,Corona de Tucson
85746,Corona de Tucson
85747,Corona de Tucson
85748,Corona de Tucson
85749,Corona de Tucson
85750,Corona de Tucson
85751,Corona de Tucson
85752,Corona de Tucson
85754,Corona de Tucson
85755,Corona de Tucson
85756,Corona de Tucson
85757,Corona de Tucson
85775,Corona de Tucson
85901,Show Low city
85902,Show Low city
85911,Cibecue
85912,White Hills
85920,Alpine
85922,Bluewater
85923,Clay Springs
85924,Concho
85925,Eagar town
85926,Fort Apache
85927,Greer
85928,Heber-Overgaard
85929,Pinetop-Lakeside town
85930,McNary
85931,Cactus Forest
85932,Nutrioso
85933,Heber-Overgaard
85934,Pinedale
85935,Pine
85936,Lower Santan Village
85937,Snowflake town
85938,Springerville town
85939,Taylor town
85940,Vernon
85941,Whiteriver
85942,Woodruff
86001,Flagstaff city
86002,Flagstaff city
86003,Flagstaff city
86004,Flagstaff city
86005,Flagstaff city
86011,Flagstaff city
86015,Lake Montezuma
86016,Casa Grande city
86017,Munds Park
86018,Parks
86020,Cameron
86021,Colorado City town
86022,Fredonia town
86023,Casa Grande city
86024,Hayden town
86025,Holbrook city
86028,Peridot
86029,Sun City
86030,Hotevilla-Bacavi
86031,Indian Wells
86032,Joseph City
86033,Kayenta
86034,Keams Canyon
86035,Leupp
86036,Freedom Acres
86038,Cameron
86039,Kykotsmovi Village
86040,Page city
86042,Black Canyon City
86043,Second Mesa
86044,Tonalea
86045,Tuba City
86046,Williams city
86047,Winslow city
86052,North Fork
86053,Kaibito
86054,Shonto
86301,Prescott city
86302,Prescott city
86303,Prescott city
86304,Prescott city
86305,Prescott city
86312,Prescott city
86313,Prescott city
86314,Prescott city
86315,Prescott city
86320,Ash Fork
86321,Bagdad
86322,Camp Verde town
86323,Chino Valley town
86324,Clarkdale town
86325,Cornville
86326,Cottonwood
86327,Dewey-Humboldt town
86329,Dewey-Humboldt town
86331,Jerome town
